energy_j,elapsed_ns,cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_guest,cpu_guest_nice,mem_delta_bytes,ctx_voluntary,ctx_involuntary,io_read_calls,io_write_calls,battery_delta_uAh,nvme_nvme0n1_data_units_read_delta,nvme_nvme0n1_data_units_written_delta,rapl_J
19976817.0,10053648264,0.1199999999998908,0.0700000000000002,0.3099999999999454,120.67000000000552,0.0600000000000022,0.0,0.0,0.0,0.0,0.0,0,522,0,1028,1,0,0,1,19976817.0
18530348.0,10045785246,0.1199999999998908,0.0,0.2800000000000864,120.2699999999968,0.0,0.0,0.0,0.0,0.0,0.0,0,524,0,1028,1,0,0,0,18530348.0
18792493.0,10052211173,0.1600000000003092,0.0,0.2899999999999636,120.26000000000204,0.019999999999996,0.0,0.0099999999999997,0.0,0.0,0.0,0,523,1,1028,1,6000,0,0,18792493.0
23522401.0,10051602457,0.1399999999998726,0.1900000000000012,0.3299999999999272,120.45999999999913,0.059999999999988,0.0,0.0,0.0,0.0,0.0,0,522,0,1028,1,0,0,2,23522401.0
17135882.0,10053719034,0.1000000000003638,0.0,0.2599999999999909,120.36000000000058,0.0099999999999909,0.0,0.0,0.0,0.0,0.0,0,358,1,1028,1,7000,0,0,17135882.0
17411027.0,10049392250,0.099999999999909,0.0,0.3100000000000591,120.2699999999968,0.0200000000000102,0.0,0.0,0.0,0.0,0.0,131072,238,2,1028,1,0,0,0,17411027.0
23542908.0,10047173846,0.1500000000000909,0.1899999999999977,0.3600000000000136,120.36000000000058,0.1099999999999994,0.0,0.0,0.0,0.0,0.0,188416,521,0,1028,1,6000,0,2,23542908.0
17627519.0,10051465260,0.1199999999998908,0.0,0.25,120.33999999999652,0.0,0.0,0.0099999999999997,0.0,0.0,0.0,0,522,0,1028,1,0,0,0,17627519.0
18259596.0,10054063127,0.1199999999998908,0.0,0.2800000000000864,120.33000000000176,0.0100000000000051,0.0,0.0,0.0,0.0,0.0,0,524,0,1028,1,6000,0,0,18259596.0
23276186.0,10049442701,0.1500000000000909,0.2000000000000028,0.3400000000000318,120.45000000000437,0.0600000000000022,0.0,0.0,0.0,0.0,0.0,0,523,0,1028,1,0,0,4,23276186.0
17122576.0,10052199998,0.099999999999909,0.0,0.2799999999999727,120.34999999999854,0.0,0.0,0.0,0.0,0.0,0.0,0,522,0,1028,1,0,0,0,17122576.0
17242081.0,10054327529,0.1199999999998908,0.0,0.2900000000000773,120.32999999999448,0.0,0.0,0.0099999999999997,0.0,0.0,0.0,0,524,0,1028,1,7000,0,0,17242081.0
21753423.0,10050006691,0.1199999999998908,0.1600000000000001,0.3600000000000136,120.47000000000116,0.0900000000000034,0.0,0.0,0.0,0.0,0.0,0,340,1,1028,1,0,0,2,21753423.0
17180497.0,10052800491,0.1199999999998908,0.0,0.2699999999999818,120.34000000000378,0.0100000000000051,0.0,0.0,0.0,0.0,0.0,0,508,0,1028,1,7000,0,0,17180497.0
17883560.0,10054181003,0.1300000000001091,0.0,0.2800000000000864,120.34999999999854,0.0,0.0,0.0099999999999997,0.0,0.0,0.0,0,524,0,1028,1,0,0,0,17883560.0
22525332.0,10053243657,0.1399999999998726,0.1899999999999977,0.3400000000000318,120.45999999999913,0.1200000000000045,0.0,0.0,0.0,0.0,0.0,0,523,0,1028,1,6000,0,3,22525332.0
17456071.0,10055945658,0.1199999999998908,0.0,0.2699999999999818,120.40000000000146,0.0099999999999909,0.0,0.0100000000000006,0.0,0.0,0.0,0,523,0,1028,1,0,0,0,17456071.0
17946854.0,10053723333,0.1399999999998726,0.0100000000000015,0.2699999999999818,120.33000000000176,0.0,0.0,0.0,0.0,0.0,0.0,0,523,0,1028,1,6000,0,0,17946854.0
22427799.0,10051289890,0.1300000000001091,0.1899999999999977,0.3300000000000409,120.15000000000146,0.0499999999999971,0.0,0.0,0.0,0.0,0.0,188416,523,0,1028,1,0,0,2,22427799.0
18613966.0,10050231335,0.1299999999996544,0.0,0.2799999999999727,120.25,0.0100000000000051,0.0,0.0,0.0,0.0,0.0,0,523,0,1028,1,0,0,0,18613966.0
18310256.0,10050449971,0.1300000000001091,0.0100000000000015,0.2599999999999909,120.27999999999884,0.0,0.0,0.0,0.0,0.0,0.0,0,425,2,1028,1,7000,0,0,18310256.0
23684755.0,10044444298,0.1300000000001091,0.2000000000000028,0.3300000000000409,120.41999999999824,0.0700000000000073,0.0,0.0099999999999997,0.0,0.0,0.0,0,522,0,1028,1,0,0,2,23684755.0
19272228.0,10050006728,0.1300000000001091,0.0,0.2899999999999636,120.2699999999968,0.0100000000000051,0.0,0.0,0.0,0.0,0.0,0,523,0,1028,1,7000,0,1,19272228.0
17770828.0,10049579913,0.1199999999998908,0.0,0.2599999999999909,120.34000000000378,0.0,0.0,0.0099999999999997,0.0,0.0,0.0,131072,524,0,1028,1,0,0,0,17770828.0
22564761.0,10051106214,0.1199999999998908,0.1999999999999993,0.2999999999999545,120.53000000000613,0.0699999999999931,0.0,0.0,0.0,0.0,0.0,188416,521,0,1028,1,6000,0,2,22564761.0
18016250.0,10050476102,0.1400000000003274,0.009999999999998,0.2900000000000773,120.27999999999884,0.0100000000000051,0.0,0.0099999999999997,0.0,0.0,0.0,0,523,0,1028,1,0,0,0,18016250.0
17325700.0,10053942693,0.1299999999996544,0.0,0.25,120.37000000000262,0.0,0.0,0.0,0.0,0.0,0.0,0,522,0,1028,1,0,0,0,17325700.0
22248234.0,10049804437,0.1399999999998726,0.1900000000000012,0.3199999999999363,120.5,0.0699999999999931,0.0,0.0,0.0,0.0,0.0,188416,522,0,1028,1,7000,0,2,22248234.0
17378679.0,10054371539,0.1300000000001091,0.0,0.2799999999999727,120.30999999999769,0.0200000000000102,0.0,0.0100000000000006,0.0,0.0,0.0,0,328,0,1028,1,0,0,0,17378679.0
16146382.0,10054542781,0.099999999999909,0.0,0.2600000000001046,120.40000000000146,0.0,0.0,0.0,0.0,0.0,0.0,0,520,1,1028,1,7000,0,0,16146382.0
22384892.0,10053147916,0.1400000000003274,0.2100000000000008,0.32000000000005,120.48999999999796,0.0799999999999983,0.0,0.0,0.0,0.0,0.0,0,524,0,1028,1,0,0,2,22384892.0
18754042.0,10051379481,0.1399999999998726,0.0,0.2999999999999545,120.25999999999476,0.0,0.0,0.0099999999999997,0.0,0.0,0.0,0,524,0,1028,1,6000,0,0,18754042.0
16813251.0,10053028601,0.1300000000001091,0.0,0.25,120.33000000000176,0.0100000000000051,0.0,0.0,0.0,0.0,0.0,0,438,1,1028,1,0,0,0,16813251.0
21289069.0,10052973081,0.1299999999996544,0.1999999999999993,0.2900000000000773,120.47999999999593,0.0799999999999983,0.0,0.0099999999999997,0.0,0.0,0.0,0,231,1,1028,1,7000,0,3,21289069.0
17948258.0,10053394152,0.1400000000003274,0.0,0.2999999999999545,120.27999999999884,0.0099999999999909,0.0,0.0,0.0,0.0,0.0,0,119,0,1028,1,0,0,0,17948258.0
16737628.0,10056313698,0.1099999999996725,0.0100000000000015,0.25,120.38999999999942,0.0,0.0,0.0,0.0,0.0,0.0,0,523,0,1028,1,0,0,0,16737628.0
